COLUMN_NAME,DATA_TYPE,IS_NULLABLE
AddressRecordID,int,NO
AddressCountryRecordID,int,YES
AddressName1,nvarchar,YES
AddressName2,nvarchar,YES
AddressLine1,nvarchar,YES
AddressLine2,nvarchar,YES
AddressLine3,nvarchar,YES
AddressLine4,nvarchar,YES
AddressPostCode,nvarchar,YES
AddressPostCodeCity,nvarchar,YES
AddressPoBox,nvarchar,YES
AddressPoBoxCity,nvarchar,YES
AddressStateProvince,nvarchar,YES
AddressSearchTags,nvarchar,YES
AddressInfo,nvarchar,YES
AddressLongitude,decimal,YES
AddressLatitude,decimal,YES
AddressSalutation,nvarchar,YES
AddressMapURL,nvarchar,YES
AddressMapFile,nvarchar,YES
AddressValidated,bit,YES
AddressValidatedOn,datetime,YES
AddressValidatedBy,int,YES
AddressStatus,int,YES
ikavios_adrad_mndt,int,YES
ikavios_adrad_adrk,int,YES
ikavios_adrad_grpp,int,YES
ikavios_adrad_lfdnr,int,YES
ForeignRecordID,int,YES
ForeignDataSource,varchar,YES
ForeignUserID,varchar,YES
