COLUMN_NAME,DATA_TYPE,IS_NULLABLE
ChannelRecordID,int,NO
ChannelCompanyRecordID,int,YES
ChannelAddressRecordID,int,YES
ChannelContactRecordID,int,YES
ChannelGroupRecordID,int,YES
ChannelValue,nvarchar,YES
ChannelActive,int,YES
ikavios_adrtk_mndt,int,YES
ikavios_adrtk_adrk,int,YES
ikavios_adrtk_adgrp,int,YES
ikavios_adrtk_adrad,int,YES
ikavios_adrtk_adrps,int,YES
ikavios_adrtk_grpp,int,YES
ikavios_adrtk_lfdnr,int,YES
ForeignRecordID,int,YES
ForeignDataSource,varchar,YES
ForeignUserID,varchar,YES
UserName,nvarchar,YES
Validated,int,NO
ValidatedBy,nvarchar,YES
ValidatedOn,datetime,YES
SearchTag,nvarchar,YES
