COLUMN_NAME,DATA_TYPE,IS_NULLABLE
CompanyRecordID,int,NO
CompanyCountryRecordID,int,YES
CompanyName1,nvarchar,YES
CompanyName2,nvarchar,YES
CompanyShortName,nvarchar,YES
CompanyDisplayName,nvarchar,YES
CompanyCustomerNo,nvarchar,YES
CompanySearchTags,nvarchar,YES
CompanyInfo,nvarchar,YES
CompanyRating,tinyint,YES
CompanyLogo,nvarchar,YES
CompanyValidated,bit,YES
CompanyValidatedBy,int,YES
CompanyValidatedOn,datetime,YES
CompanyStatus,int,YES
ikavios_adrad_mndt,int,YES
ikavios_adrad_adrk,int,YES
ForeignRecordID,varchar,YES
ForeignDataSource,varchar,YES
ForeignUserID,varchar,YES
