COLUMN_NAME,DATA_TYPE,IS_NULLABLE
f_id,int,YES
id_adm,int,YES
mndt,smallint,YES
nummer,int,YES
fikz,char,YES
name1,char,YES
name2,char,YES
str,char,YES
ort,char,YES
ustid,char,YES
anspr,char,YES
telefon,char,YES
inct,char,YES
telefax,char,YES
zbed,smallint,YES
bform,smallint,YES
kdnr,char,YES
versand,char,YES
mwert,money,YES
vpzup,money,YES
vpzum,money,YES
blief,int,YES
mwkz1,smallint,YES
mwkz2,smallint,YES
mwkz3,smallint,YES
uskz1,char,YES
uskz2,char,YES
uskz3,char,YES
konto1,int,YES
konto2,int,YES
sprch,int,YES
whrg,int,YES
txko,smallint,YES
txfu,smallint,YES
ltzre,date,YES
umvj,money,YES
umlfd,money,YES
busr,varchar,YES
spid,int,YES
bzt,datetime,YES
